datetime,open,high,low,close,volume
2026-03-25 09:30:00-04:00,658.6699829101562,660.8900146484375,658.5999755859375,658.9000244140625,9317747
2026-03-25 09:45:00-04:00,658.9099731445312,659.1799926757812,656.4199829101562,656.489990234375,4852440
2026-03-25 10:00:00-04:00,656.5599975585938,658.1199951171875,655.6699829101562,658.0599975585938,4634787
2026-03-25 10:15:00-04:00,658.0599975585938,660.5,657.1699829101562,658.1400146484375,4071238
2026-03-25 10:30:00-04:00,658.1599731445312,659.030029296875,657.6500244140625,658.4349975585938,2747676
2026-03-25 10:45:00-04:00,658.4400024414062,659.25,658.3800048828125,658.6900024414062,2335033
2026-03-25 11:00:00-04:00,658.6900024414062,659.0078125,656.469970703125,656.5700073242188,3056524
2026-03-25 11:15:00-04:00,656.5599975585938,657.8724975585938,654.239990234375,657.8400268554688,6438302
2026-03-25 11:30:00-04:00,657.8499755859375,658.239990234375,656.1199951171875,656.6799926757812,2955535
2026-03-25 11:45:00-04:00,656.6799926757812,657.4099731445312,656.27001953125,657.0,2262381
2026-03-25 12:00:00-04:00,657.0,657.2000122070312,656.010009765625,656.5700073242188,1834484
2026-03-25 12:15:00-04:00,656.5599975585938,658.0700073242188,656.125,657.5,2500250
2026-03-25 12:30:00-04:00,657.4600219726562,658.3150024414062,657.0599975585938,657.969970703125,2277695
2026-03-25 12:45:00-04:00,657.969970703125,658.1599731445312,657.0999755859375,657.75,2374979
2026-03-25 13:00:00-04:00,657.75,658.280029296875,656.9149780273438,657.5900268554688,2123456
2026-03-25 13:15:00-04:00,657.5900268554688,658.3200073242188,656.9199829101562,658.02001953125,1959799
2026-03-25 13:30:00-04:00,658.0399780273438,659.3800048828125,657.5599975585938,658.8350219726562,2438602
2026-03-25 13:45:00-04:00,658.8350219726562,658.8599853515625,657.3300170898438,657.9000244140625,3151757
2026-03-25 14:00:00-04:00,657.8900146484375,658.2550048828125,657.5599975585938,657.97998046875,1638570
2026-03-25 14:15:00-04:00,657.97998046875,658.510009765625,657.4099731445312,657.5150146484375,1633317
2026-03-25 14:30:00-04:00,657.510009765625,657.8099975585938,657.0700073242188,657.3099975585938,1818377
2026-03-25 14:45:00-04:00,657.3099975585938,657.3599853515625,655.6400146484375,656.5,3367808
2026-03-25 15:00:00-04:00,656.489990234375,656.52001953125,655.5800170898438,656.4299926757812,3204768
2026-03-25 15:15:00-04:00,656.4271850585938,657.3201293945312,656.4000244140625,656.510009765625,3112687
2026-03-25 15:30:00-04:00,656.510009765625,656.6500244140625,655.7550048828125,656.2100219726562,3253347
2026-03-25 15:45:00-04:00,656.2100219726562,657.0599975585938,655.969970703125,656.739990234375,5791860
2026-03-26 09:30:00-04:00,652.0599975585938,653.0499877929688,650.72998046875,653.0,7517702
2026-03-26 09:45:00-04:00,653.02001953125,654.6300048828125,652.780029296875,654.469970703125,6409063
2026-03-26 10:00:00-04:00,654.469970703125,654.8300170898438,653.364990234375,654.4299926757812,3212726
2026-03-26 10:15:00-04:00,654.4299926757812,654.8400268554688,653.5800170898438,653.6199951171875,2072924
2026-03-26 10:30:00-04:00,653.6199951171875,654.8499755859375,652.4299926757812,652.6599731445312,3866010
2026-03-26 10:45:00-04:00,652.6599731445312,653.1699829101562,650.8200073242188,652.2100219726562,5436787
2026-03-26 11:00:00-04:00,652.219970703125,652.9099731445312,651.97998046875,652.22998046875,3006727
2026-03-26 11:15:00-04:00,652.260009765625,652.4400024414062,651.5800170898438,651.7100219726562,2554153
2026-03-26 11:30:00-04:00,651.7100219726562,651.8400268554688,650.8699951171875,651.219970703125,1893535
2026-03-26 11:45:00-04:00,651.239990234375,652.3499755859375,651.0,651.52001953125,2365684
2026-03-26 12:00:00-04:00,651.489990234375,651.6900024414062,650.8502807617188,651.3400268554688,2129217
2026-03-26 12:15:00-04:00,651.3200073242188,651.3200073242188,649.2899780273438,649.469970703125,3289368
2026-03-26 12:30:00-04:00,649.4912719726562,649.6799926757812,648.8900146484375,649.47998046875,2168412
2026-03-26 12:45:00-04:00,649.5,649.719970703125,648.9299926757812,649.6400146484375,1350689
2026-03-26 13:00:00-04:00,649.6400146484375,650.0999755859375,648.9000244140625,648.989990234375,1328665
2026-03-26 13:15:00-04:00,648.9849853515625,649.2999877929688,647.97998046875,648.6199951171875,2029412
2026-03-26 13:30:00-04:00,648.6199951171875,648.8099975585938,648.22998046875,648.6599731445312,434827
